idx,file,path,ext,bytes,sha16,width,height,ratio,bucket
73,49da7f3dd752f52b.png,dist/assets/pptx-media/49da7f3dd752f52b.png,png,1684,14f7550f42d61ac3,96,96,1.0,icon-candidate
74,4a52644458264c9e.png,dist/assets/pptx-media/4a52644458264c9e.png,png,121283,0d7deb3e59910548,370,371,0.997,large-icon-or-logo-candidate
75,4cfbf4d0ab64daf4.png,dist/assets/pptx-media/4cfbf4d0ab64daf4.png,png,24537,9907c50b74a9d789,1847,417,4.429,logo-candidate
76,4de48b7a2bc4ba6c.png,dist/assets/pptx-media/4de48b7a2bc4ba6c.png,png,26580,82a6e1956c6b79dc,784,784,1.0,large-icon-or-logo-candidate
77,4e674d95af6566e1.png,dist/assets/pptx-media/4e674d95af6566e1.png,png,1850,85b88c18df635843,96,96,1.0,icon-candidate
78,4f4afc2549aa721c.png,dist/assets/pptx-media/4f4afc2549aa721c.png,png,144689,1ef33fb56fada52d,3034,735,4.128,logo-candidate
79,4fd246f92ff8af99.png,dist/assets/pptx-media/4fd246f92ff8af99.png,png,27706,738458f6095f46c1,784,788,0.995,large-icon-or-logo-candidate
80,5155306be12707a8.png,dist/assets/pptx-media/5155306be12707a8.png,png,31294,069e9fb0618edd1d,784,784,1.0,large-icon-or-logo-candidate
81,528b09fad3e307bb.png,dist/assets/pptx-media/528b09fad3e307bb.png,png,1258,1ba6ebabec8286de,190,224,0.848,other-candidate
82,55adb414daa2a42b.png,dist/assets/pptx-media/55adb414daa2a42b.png,png,6652,e8bc73186e8b1bba,442,149,2.966,logo-candidate
83,569668d9d0f33387.png,dist/assets/pptx-media/569668d9d0f33387.png,png,2128,8de1314a75004a75,96,96,1.0,icon-candidate
84,56cdfd9d3d5a7cdf.png,dist/assets/pptx-media/56cdfd9d3d5a7cdf.png,png,1595,ba6517cf5c156c2c,96,96,1.0,icon-candidate
85,57435b10d51be8ad.png,dist/assets/pptx-media/57435b10d51be8ad.png,png,1076,b0fcf2a05db73cdd,96,96,1.0,icon-candidate
86,5773381ab52790fb.png,dist/assets/pptx-media/5773381ab52790fb.png,png,1099,ff7e52ed5b9f1871,96,96,1.0,icon-candidate
87,57a9fc797aecd8c6.png,dist/assets/pptx-media/57a9fc797aecd8c6.png,png,47669,6b2f93c51b1e43fa,2684,418,6.421,logo-candidate
88,59bfc32a2191d2b9.png,dist/assets/pptx-media/59bfc32a2191d2b9.png,png,1478,d3e4b7e4b6f2fde8,96,96,1.0,icon-candidate
89,59d8e6f929dfcdaf.png,dist/assets/pptx-media/59d8e6f929dfcdaf.png,png,1316,855147504f0e9b1d,96,96,1.0,icon-candidate
90,5b88486e739bbc7b.png,dist/assets/pptx-media/5b88486e739bbc7b.png,png,2074,4cbae0a1e824f11e,96,96,1.0,icon-candidate
91,5be6d8ddee1958d5.png,dist/assets/pptx-media/5be6d8ddee1958d5.png,png,1509,d6666cc8941bb97c,96,96,1.0,icon-candidate
92,5c77177ba3127208.png,dist/assets/pptx-media/5c77177ba3127208.png,png,1695,ef2b2d8a3a248993,96,96,1.0,icon-candidate
